WORD,SIZE,CATEGORY,GROUP
SAW,small,TOOLS,1
CHISEL,small,TOOLS,1
BOLTS,small,TOOLS,1
PROTRACTOR,small,TOOLS,1
PIANO,large,INSTRUMENTS,1
DRUM,large,INSTRUMENTS,1
CLARINET,small,INSTRUMENTS,1
KAZOO,small,INSTRUMENTS,1
FRANCE,large,COUNTRIES,1
ENGLAND,large,COUNTRIES,1
JAPAN,large,COUNTRIES,1
SWITZERLAND,large,COUNTRIES,1
CAT,large,MAMMALS,1
FERRET,small,MAMMALS,1
SQUIRREL,small,MAMMALS,1
LEOPARD,large,MAMMALS,1
WINDOW,large,BUILDING RELATED,2
DOOR,large,BUILDING RELATED,2
HALL,large,BUILDING RELATED,2
CORRIDOR,large,BUILDING RELATED,2
TANGELO,small,FRUITS,2
KIWI,small,FRUITS,2
STRAWBERRY,small,FRUITS,2
GUAVA,small,FRUITS,2
POT,large,KITCHEN-RELATED,2
SPATULA,small,KITCHEN-RELATED,2
REFRIGERATOR,large,KITCHEN-RELATED,2
GLASS,small,KITCHEN-RELATED,2
HORSE,large,MAMMALS,2
COW,large,MAMMALS,2
MOUSE,small,MAMMALS,2
GIRAFFE,large,MAMMALS,2
ARMS,large,BODY PARTS,3
STOMACH,small,BODY PARTS,3
PELVIS,large,BODY PARTS,3
HIP,small,BODY PARTS,3
PARIS,large,CITIES,3
DALLAS,large,CITIES,3
ROME,large,CITIES,3
MONTREAL,large,CITIES,3
TRUMPET,large,INSTRUMENTS,3
TUBA,large,INSTRUMENTS,3
PICCOLO,small,INSTRUMENTS,3
TAMBOURINE,small,INSTRUMENTS,3
MUG,small,KITCHEN-RELATED,3
OVEN,large,KITCHEN-RELATED,3
BROILER,large,KITCHEN-RELATED,3
THERMOMETER,small,KITCHEN-RELATED,3
RABBIT,small,MAMMALS,4
FOX,large,MAMMALS,4
RHINOCEROS,large,MAMMALS,4
LLAMA,large,MAMMALS,4
BEETLE,small,INSECTS,4
WASP,small,INSECTS,4
TERMITE,small,INSECTS,4
CHRYSALIS,small,INSECTS,4
OHIO,large,STATES,4
PENNSYLVANIA,large,STATES,4
TEXAS,large,STATES,4
ALASKA,large,STATES,4
GINGER,small,VEGETABLES,4
RUTABAGA,small,VEGETABLES,4
PUMPKIN,large,VEGETABLES,4
OKRA,small,VEGETABLES,4
BANJO,large,INSTRUMENTS,5
MARIMBA,large,INSTRUMENTS,5
HARMONICA,small,INSTRUMENTS,5
UKULELE,small,INSTRUMENTS,5
MIXER,large,KITCHEN-RELATED,5
CUP,small,KITCHEN-RELATED,5
BLENDER,large,KITCHEN-RELATED,5
COLANDER,small,KITCHEN-RELATED,5
OAK,large,TREES,5
SPRUCE,large,TREES,5
EVERGREEN,large,TREES,5
COTTONWOOD,large,TREES,5
SHIRT,small,CLOTHING,5
BELT,small,CLOTHING,5
ROBE,small,CLOTHING,5
JUMPER,small,CLOTHING,5
TROMBONE,large,INSTRUMENTS,6
VIOLA,large,INSTRUMENTS,6
MARACAS,small,INSTRUMENTS,6
BASS,large,INSTRUMENTS,6
ITALY,large,COUNTRIES,6
ETHIOPIA,large,COUNTRIES,6
AUSTRALIA,large,COUNTRIES,6
POLAND,large,COUNTRIES,6
LION,large,MAMMALS,6
ELEPHANT,large,MAMMALS,6
PIG,large,MAMMALS,6
ZEBRA,large,MAMMALS,6
CARROT,small,VEGETABLES,6
LETTUCE,small,VEGETABLES,6
CELERY,small,VEGETABLES,6
YAMS,small,VEGETABLES,6
BARN,large,BUILDING RELATED,7
KITCHEN,large,BUILDING RELATED,7
GAZEBO,large,BUILDING RELATED,7
ALCOVE,large,BUILDING RELATED,7
EAR,small,BODY PARTS,7
KNUCKLE,small,BODY PARTS,7
HEART,small,BODY PARTS,7
FACE,small,BODY PARTS,7
ROSE,small,FLOWERS,7
TULIP,small,FLOWERS,7
CARNATION,small,FLOWERS,7
PETUNIA,small,FLOWERS,7
TIGER,large,MAMMALS,7
DOG,large,MAMMALS,7
DONKEY,large,MAMMALS,7
HIPPOPOTAMUS,large,MAMMALS,7
PLUM,small,FRUITS,8
RASPBERRY,small,FRUITS,8
FIG,small,FRUITS,8
HONEYDEW,small,FRUITS,8
HAMMER,small,TOOLS,8
SCREWS,small,TOOLS,8
WEDGE,small,TOOLS,8
WIRE,small,TOOLS,8
VIOLIN,large,INSTRUMENTS,8
SAXOPHONE,large,INSTRUMENTS,8
CELLO,large,INSTRUMENTS,8
TRIANGLE,small,INSTRUMENTS,8
MAPLE,large,TREES,8
PINE,large,TREES,8
ELM,large,TREES,8
HICKORY,large,TREES,8
FOOT,small,BODY PARTS,9
KIDNEY,small,BODY PARTS,9
ELBOW,small,BODY PARTS,9
SHOULDER,small,BODY PARTS,9
TORONTO,large,CITIES,9
MIAMI,large,CITIES,9
BOMBAY,large,CITIES,9
STOCKHOLM,large,CITIES,9
SHEEP,large,MAMMALS,9
GOAT,large,MAMMALS,9
WOLF,large,MAMMALS,9
PANTHER,large,MAMMALS,9
SQUASH,small,VEGETABLES,9
ZUCCHINI,small,VEGETABLES,9
AUBERGINE,small,VEGETABLES,9
OLIVE,small,VEGETABLES,9
KNIFE,small,KITCHEN-RELATED,10
FORK,small,KITCHEN-RELATED,10
SKILLET,large,KITCHEN-RELATED,10
TOASTER,large,KITCHEN-RELATED,10
PANTS,small,CLOTHING,10
DRESS,small,CLOTHING,10
UNDERWEAR,small,CLOTHING,10
GIRDLE,small,CLOTHING,10
DAISY,small,FLOWERS,10
LILY,small,FLOWERS,10
NARCISSUS,small,FLOWERS,10
SUNFLOWER,small,FLOWERS,10
MAINE,large,STATES,10
MONTANA,large,STATES,10
UTAH,large,STATES,10
ARIZONA,large,STATES,10
FINGER,small,BODY PARTS,11
HAND,small,BODY PARTS,11
ANKLE,small,BODY PARTS,11
LIP,small,BODY PARTS,11
GUITAR,large,INSTRUMENTS,11
ACCORDION,large,INSTRUMENTS,11
XYLOPHONE,large,INSTRUMENTS,11
BONGOS,large,INSTRUMENTS,11
ASH,large,TREES,11
POPLAR,large,TREES,11
WILLOW,large,TREES,11
EUCALYPTUS,large,TREES,11
WORM,small,INSECTS,11
MONARCH,small,INSECTS,11
SCORPION,small,INSECTS,11
LARVA,small,INSECTS,11
FLOOR,large,BUILDING RELATED,12
CARPET,large,BUILDING RELATED,12
ELEVATOR,large,BUILDING RELATED,12
FOUNDATION,large,BUILDING RELATED,12
STRAINER,small,KITCHEN-RELATED,12
SAUCER,small,KITCHEN-RELATED,12
GRIDDLE,small,KITCHEN-RELATED,12
DISH,small,KITCHEN-RELATED,12
DAHLIA,small,FLOWERS,12
AZALEA,small,FLOWERS,12
BUTTERCUP,small,FLOWERS,12
LOG,small,FLOWERS,12
BROCCOLI,small,VEGETABLES,12
